timestamp,user_id,group,clicked
2025-03-26 16:36:02.884383,a522358a-3326-4c14-9ada-8fb5629aeb94,B,1
2025-03-26 16:36:34.545305,e4c7a5c2-f386-4ec7-8805-8aa890ab2806,B,1
2025-03-26 16:36:44.627415,be05da13-972d-4712-a00b-1fcc5fbeca88,A,1
2025-03-26 16:38:11.191192,393e7ca3-c7df-48c2-9340-b68109425e19,B,0
2025-03-26 16:38:56.769272,58887cbf-6b78-4132-9bb5-eaf1b5b0dab1,A,0
2025-03-26 17:00:50.868040,f50f4383-0868-45de-b974-ba6439ff2cbb,B,0
2025-03-26 17:00:50.976893,8a4469a9-b1b0-4fdc-ba35-644160c6fa50,B,1
2025-03-26 17:00:51.088481,56996325-9098-4433-a5a6-5fd7b8370d9c,B,1
2025-03-26 17:00:51.200120,ad3cad24-1503-470b-a125-33f86928b31d,B,1
2025-03-26 17:00:51.310054,4699511d-379c-4802-9d91-1d989eba0001,B,1
2025-03-26 17:00:51.418832,ee149cef-a87b-442d-9a74-0d2335136c62,B,1
2025-03-26 17:00:51.528777,e6eac1ca-39e8-432d-9be8-17427d1f9a4d,B,0
2025-03-26 17:00:51.639208,df404cb2-949a-42aa-a981-a664d2c08ca2,A,0
2025-03-26 17:00:51.746610,54d080d0-977d-441e-875c-c185fac8fc8d,A,0
2025-03-26 17:00:51.857136,163659ea-8f29-4b79-9a65-16318f7c2047,B,1
2025-03-26 17:00:51.967554,9470e6e9-53fc-4e99-8f4a-084706f9f4fb,A,0
2025-03-26 17:00:52.072873,d5756802-41aa-42ab-8446-74476f8895cd,B,0
2025-03-26 17:00:52.180702,0c4bbea6-4c10-4ef6-b2b5-567eaa430235,A,0
2025-03-26 17:00:52.288583,9c77fc5c-680e-4810-9db2-3a4e9036c6d9,B,1
2025-03-26 17:00:52.398080,edecb58d-b208-470f-9c92-f6c7cca79575,A,1
2025-03-26 17:00:52.507224,c10fc26d-fcba-4d6f-9f8e-b183bbe176a1,A,0
2025-03-26 17:00:52.615330,7b8900aa-603b-4f9c-b065-c0d3c2fe5f66,A,0
2025-03-26 17:00:52.721259,10ca3dbd-56f5-4b50-86a3-a1f4c9a65fd2,B,1
2025-03-26 17:00:52.828798,67b4cafa-afff-4938-8260-eb348f46b8f4,B,1
2025-03-26 17:00:52.939504,cea30990-dac3-4f45-8f3e-540c29d78c25,A,0
2025-03-26 17:00:53.047370,552df679-5290-4a7b-8ec1-7299d7517b29,B,1
2025-03-26 17:00:53.158631,f01ffe18-7b33-4746-83a3-9fe1f4a4a7fc,B,0
2025-03-26 17:00:53.266112,a22c771b-7232-4066-ba94-55b29874adf1,B,0
2025-03-26 17:00:53.371227,e357b4c3-8e7d-4407-bd83-fedae4d75549,A,0
2025-03-26 17:00:53.478194,37160eb3-06b8-4b8e-b504-e3b846c6387a,B,1
2025-03-26 17:00:53.587326,1fda2d86-4c2c-4ec3-8862-f036a0b30c5f,A,1
2025-03-26 17:00:53.695189,19184df8-b3b1-4c27-9cab-3b447f7c5e76,A,1
2025-03-26 17:00:53.803416,8c3089e6-600f-4064-b23d-946eb47b6e12,A,1
2025-03-26 17:00:53.912689,6b62a365-4a7a-4549-8905-cf2ed0074d41,B,1
2025-03-26 17:00:54.021978,1913678c-7b2f-4488-8b4e-42f9231dae91,A,0
2025-03-26 17:00:54.132698,cdc9bd39-e335-4afd-834f-03bb31ff994d,B,1
2025-03-26 17:00:54.244762,a55391f8-431f-4d94-8a35-11bc54fd99bc,A,0
2025-03-26 17:00:54.350948,f5926445-dc59-4685-b7cd-536f86cd362b,B,1
2025-03-26 17:00:54.460205,4902fb71-8662-4e45-8e9f-3bcc6e9f1c4b,A,0
2025-03-26 17:00:54.564307,c5357af0-11e7-42da-8b9d-c590f1b9eabb,B,1
2025-03-26 17:00:54.674163,2f5b67b3-e969-46df-8b13-cf8bcd7491af,B,1
2025-03-26 17:00:54.785115,9659e030-c6dd-42d7-8b10-a2736abe60fb,B,1
2025-03-26 17:00:54.895666,7f00b8ca-44a4-4250-a8f1-91fa4ec4d1a2,A,0
2025-03-26 17:00:55.002463,596b7e06-5b93-4b5c-91a9-875d8d1d60cd,A,0
2025-03-26 17:00:55.111970,9e23827f-73f2-4a86-8415-4e638d9ecbb0,B,1
2025-03-26 17:00:55.220311,ef490cbe-6668-483b-ab2b-9f0200b63338,B,1
2025-03-26 17:00:55.329177,b9674112-4576-4081-a5d0-67a09c4a7e3a,B,1
2025-03-26 17:00:55.438700,cb99d52d-1e4c-482a-84e1-4aa366249ab8,B,1
2025-03-26 17:00:55.549851,37327640-4d26-4a96-836b-f18ce680ab55,B,1
